objectid,filename,title,format,description,relationship-to-book,creator,recipient,date,date-is-approximate?,item_extent,subject,location,latitude,longitude,related_publication,publisher-digital,object-provenance,source,identifier,rights,rightsstatement,type,genre,language
amlit001,tkm_1.png,A “whites only” restroom sign,image/png,Signs like this one commonly marked segregated facilities during the Jim Crow era that took place between the end of Southern Reconstruction in 1877 and the racial integration brought forth by the civil rights movement in the 1960s.,An example of racial prejudice that is the theme of To Kill a Mockingbird.,Unknown,,1964,yes,1.6 MB,Segregation; African-Americans; Civil rights,"Georgia, United States",33.346678,-84.119434,To Kill a Mockingbird,"Tubman African American Museum via Digital Library of Georgia, https://dlg.usg.edu/","Selections from the Collections of the Tubman African American Museum, 1800-2012",Courtesy of DPLA https://dp.la/item/54951359079a8d6d6ae5eac57821743c,tkm_1,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Sign,eng
amlit002,tkm_2.mp3,Interview with Rosa Jackson,audio/mp3,An excerpt from a 1984 interview with Rosa Jackson in which she talks about her experience with the law as a black woman in Alabama in 1927.,This audio is an example of the black experience with the police in Alabama,"Jackson, Rosa; Hamrick, Peggy",,1984-07-23,no,"5 minutes, 56 seconds; 2.9 MB",African-Americans; Law Enforcement; Prohibition ,"Alabama, United States",32.3182,-86.9023,To Kill a Mockingbird,"William Stanley Hoole Special Collections Library, University of Alabama via Digital Library of Georgia",Working Lives Oral History Project,Courtesy of DPLA https://dp.la/item/4241d72c30e3e08b74fc5ca2b5e31692,tkm_2,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Sound,Oral History Interview,eng
amlit003,tkm_3.png,"""Save the Scottsboro"" Boys",image/png,"Flyer announcing a rally in support of the ""Scottsboro Boys."" Ralph Bunche was one of the featured speakers at the rally",The trial of the Scottsboro Boys is similar to Tom Robinson’s trial in To Kill a Mockingbird.,Scottsboro Defense Committee,,1931,yes,909 KB,Scottsboro Trial; African-Americans; Civil rights,"Scottsboro, Alabama, United States",34.6723,-86.0341,To Kill a Mockingbird,"UCLA, Library Special Collections, Charles E. Young Research Library via California Digital Library",Ralph J Bunche Papers,Courtesy of DPLA https://dp.la/item/6d037d5fb7ae9d8f8ee702555a58d2ec,tkm_3,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Flyer,eng
amlit004,tkm_4.png,A photograph of kids and a new car,image/png,"The purchase of a new car is a proud day for any family, but during this period of American history, it is especially notable. This idyllic scene stood in stark contrast with the ravages of the Great Depression holding the country in its terrible grip.","While the Finches were poor, they still had luxury items like a car. This image depicts children who are similar to Scout and Dill.",Unknown,,1935,yes,1.1 MB,Automobiles; California; Dublin; Children; Great Depression,"Dublin, California, United States",37.7159,-121.9101,To Kill a Mockingbird,Dublin Heritage Park and Museums via California Digital Library,Collection of Dublin Heritage Museum,Courtesy of DPLA https://dp.la/item/93236305295b82defe62eaae4eec7a20,tkm_4,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Black and White Image,eng
amlit005,tkm_5.pdf,Excerpt of The Crime at Scottsboro by Guy Endore,application/pdf,An excerpt from The Crime at Scottsboro by Guy Endore,The trial of the Scottsboro Boys is similar to Tom Robinson’s trial in To Kill a Mockingbird.,"Endore, Guy",,1938,yes,"2 p., 737 KB",Scottsboro Trial; African-Americans; Civil rights,"Hollywood, California, United States",34.0928,-118.3287,To Kill a Mockingbird; The Crime at Scottsboro,University of Michigan via HathiTrust.,University of Michigan,Courtesty of DPLA https://dp.la/item/b45718b3fc8d21816b00702b71396b8b,tkm_5,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Novel,eng
amlit006,rs_1.pdf,An excerpt from a Chicago commission report,application/pdf,An excerpt from a Chicago commission report on building new neighborhoods,"A Raisin in the Sun is based on the author's experience with housing discrimination, this excerpt discusses the flight to the suburbs which is a theme of the play.",Chicago Commission,,1943,yes,"2 p., 855 KB","Chicago; Urbanization, Discrimination, Migration","Chicago, Illinois, United States",41.8781,-87.6298,A Raisin in the Sun,University of Michigan via HathiTrust,University of Michigan,Courtesy of DPLA https://dp.la/item/4613a63629e37622f34dc54511c7d1ca,rs_1,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Report,eng
amlit007,rs_2.mp3,Interview with Lorraine Hansberry,audio/mp3,"Patricia Marx interviews playwright Lorraine Hansberry after the success of her seminal work ""A Raisin in the Sun"". Ms. Hansberry discusses the characters in the play, and how each of them reflect ideals that she herself carries. She also shares her feelings on the importance of African tradition to the African-American community, and her future plans and dreams.",Lorraine Hansberry is the author of A Raisin in the Sun,New York Public Radio,,1961-08-04,no,"22 minutes, 34 seconds",Housing Discrimination; African-Americans,"New York, United States",40.7128,-74.0060,A Raisin in the Sun,New York Public Radio,New York Public Radio Archive Collections,Courtesy of DPLA https://dp.la/item/aed8212fd948affadd96a4a0b6f24ed1?q=a+raisin+in+the+sun&type=%22sound%22&page=1,rs_2,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Sound,Oral History Interview,eng
amlit008,rs_3.png,Image of the playbook cover of A Raisin in the Sun,image/png,"Play about a black family's experiences in a Chicago neighborhood. Based on ""Harlem, or, A Dream Deferred"" by Langston Hughes. Inscribed by author.",A play about a black family's experiences in a Chicago neighborhood,"Hansberry, Lorraine",,1959,no,1.4 MB,African-American Literature; Theatre; Drama,"Chicago, Illinois, United States",41.8781,-87.6298,A Raisin in the Sun,University of Michigan Libraries,"Archie Givens, Sr. Collection of African American Literature",Courtesy of DPLA https://dp.la/item/0d37cd15f025dcb89cd2824138f93e14?q=a+raisin+in+the+sun,rs_3,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Playbook,eng
amlit009,rs_4.png,Come On In – This Is An Integrated Neighborhood,image/png,A 1967 political cartoon about war and residential integration.,A Raisin in the Sun is about housing discrimination,"Engelhardt, Tom",,1967-05-28,no,663 KB,Housing Discrimination; African-Americans; Racial Discrimination,"Columbia, Missouri, United States",38.94872885,-92.3303072443813,A Raisin in the Sun,The State Historical Society of Missouri via Missouri Hub.,Editorial Cartoon Collection- SHS 2013 (Art Collection),Courtest of DPLA https://dp.la/item/d67929ef8a1c310d4cdd2db55a9d7c27,rs_4,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Editorial Cartoon,eng
amlit010,rs_5.png,Columbians threatening neighborhood,image/png,"A photo of crowd gathered after a white supremacist protest of the arrival of the first black family to an Atlanta neighborhood, 1946.",A Raisin in the Sun is about housing discrimination,The Atlanta Journal-Constitution,,1946,yes,1.2 MB,White Supremacy Movements; African-American Families; Housing Discrimination,"Fulton County, Atlanta, Georgia, United States",33.749,-84.3798,A Raisin in the Sun,Atlanta Journal-Constitution and the New Georgia Encyclopedia via Digital Library of Georgia,New Georgia Encyclopedia,Courtesy of DPLA https://dp.la/item/268b161e894a063089d8109006ab88c5,rs_5,Educational Use,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Image; StillImage,Black and White Image,eng
